oblast_or_country,pcode,# total population,# female population,# male population,# female younger population (0 - 14 years),# male younger population (0 - 14 years),# total younger population (0 - 14 years),# female older population (60 years and up),# male older population (60 years and up),# total older population (60 years and up),# registered IDPs,# people exposed,# people affected,# people in need,# people in level 1 humanitarian condition,# people in level 2 humanitarian condition,# people in level 3 humanitarian condition,# people in level 4 humanitarian condition,# people in level 5 humanitarian condition,# km² landmass affected,# km² controlled by Ukrainian authorities/forces,# km² controlled by Russian forces,# km² unconfirmed control,# battles,# explosions/remote violence,# violence against civilians,# fatalities,# civilian fatalities,# civilian injuries,# total infrastructure damage,# total access events,# unemployed people,period
Chernivetska,UA73,887392,468777,418615,73482,78391,151873,116988,69688,186676,2392,887392,0,0,0,0,0,0,0,8095,8095,0,0,0,0,0,0,0,0,0,6,5443,Mar2022
Dnipropetrovska,UA12,3093176,1680750,1412426,226943,240091,467034,503014,265558,768572,71514,3093176,0,0,0,0,0,0,0,31910,31910,0,0,4,30,0,17,0,0,4,2,21155,Mar2022
Donetska,UA14,4046487,2207252,1839235,204708,218811,423519,810872,465603,1276475,512237,4046487,1661000,1661000,2385487,0,0,0,0,26500,11149,15055,296,154,424,18,996,0,0,473,94,9223,Mar2022
Ivano-Frankivska,UA26,1349096,711226,637870,108676,115708,224384,181690,108256,289946,3833,1349096,0,0,0,0,0,0,0,13933,13933,0,0,0,4,0,0,0,0,0,5,8150,Mar2022
Kharkivska,UA63,2583325,1384642,1198683,169358,180505,349863,412784,224680,637464,135556,2583325,0,0,0,0,0,0,0,31435,20872,10495,68,81,162,35,722,0,0,83,24,18568,Mar2022
Khersonska,UA65,1000166,535440,464726,76623,81913,158536,153827,84911,238738,14614,1000166,0,0,0,0,0,0,0,26657,253,25324,1080,20,29,36,110,0,0,4,16,9713,Mar2022
Khmelnytska,UA68,1225666,655503,570163,92902,97681,190583,193654,109045,302699,6580,1225666,0,0,0,0,0,0,0,20628,20628,0,0,1,4,0,2,0,0,1,5,12064,Mar2022
Kirovohradska,UA35,897297,483025,414272,63954,67838,131792,148637,82051,230688,6558,897297,0,0,0,0,0,0,0,24578,24578,0,0,0,2,1,7,0,0,0,3,12137,Mar2022
Kyiv,UA80,2910994,1568793,1342201,232566,248470,481036,401501,236765,638266,163491,2910994,0,0,0,0,0,0,0,834,834,0,0,9,39,6,63,0,0,11,6,8805,Mar2022
Kyivska,UA32,1789300,969870,819430,153069,163542,316611,253461,137057,390518,66045,1789300,0,0,0,0,0,0,0,28132,19692,8440,0,167,154,127,1078,0,0,22,18,10410,Mar2022
